#,Friends?,Sheath (t0),Sh/FR mix (t1),FR Start (t2),FR End (t3),Mixed End (t4),HSScat,Comments
220,-,2001-04-21T15:29,2001-04-21T22:39,2001-04-22T06:45,2001-04-23T00:02,2001-04-23T04:42,-,Y. Front mixed uncertain since signatures not aligned
221,-,2001-04-28T05:00,-,2001-04-28T15:45,2001-05-01T02:00,2001-05-02T05:15,X,Y. Interpret as core+leg then mixed but not certain
222,-,-,-,-,-,-,-,PN. Cannot confidently add bounds
223,-,-,2001-05-07T17:42,2001-05-07T22:17,2001-05-08T08:19,2001-05-08T11:01,X,M. Fairly strong T signature but not much else
224,-,-,-,2001-05-09T14:29,2001-05-10T22:50,-,X,M. Possibly a weak CME in a weak HSS
225,-,-,-,-,-,-,-,M. Cannot confidently add bounds. There is a strong T drop at front but not much else
226,-,2001-05-27T14:59,-,2001-05-28T04:55,2001-05-29T22:12,-,X,Y. CS. The region behind might be a continuation of CS but cannot confidently add
227,-,-,-,2001-06-07T09:29,2001-06-08T05:31,2001-06-08T07:44,GX,PY. Messy but decent B rotation
228,-,-,-,2001-06-19T00:41,2001-06-19T14:24,-,GX,PY.
229,-,-,-,2001-06-27T04:36,2001-06-28T16:41,-,-,PY. Weak flank encounter
230,-,-,-,2001-07-08T12:00,2001-07-12T03:27,-,X,Y. CS. Start of CS very uncertain.
231,-,-,-,2001-07-13T17:26,2001-07-14T01:00,2001-07-14T01:53,-,PY. Small structure being compressed from behind
232,-,-,-,-,-,-,X, Possible two hr flux rope but cannot confidently label as CME
233,-,-,-,-,-,-,X,M. Is some sort of transient structure but cannot confidently add any bounds
234,-,-,-,-,-,-,X,M. Cannot confidently add any bounds
235,-,-,-,-,-,-,-,PN. Cannot confidently add any bounds
236,-,2001-08-17T11:03,2001-08-17T20:22,2001-08-17T23:59,2001-08-18T15:20,2001-08-18T19:12,X,Y. Might extend farther back but cannot confidently add
237,-,-,-,-,-,-,GX,PN. Driverless shock/sheath? Cannot confidently identify a CME
238,-,2001-08-30T13:57,-,2001-08-30T18:04,2001-09-02T22:00,-,X,CS. Clearly multiple events but not clear enough to split
239,-,2001-09-13T02:31,-,2001-09-13T10:35,2001-09-15T00:41,-,X,CS. At least two events but cannot confidently split
240,-,-,-,-,-,-,-,PN. Possible HCS crossing
241,-,2001-09-23T19:39,2001-09-24T00:40,2001-09-24T06:17,2001-09-24T17:08,2001-09-25T00:00,X,Y. Guessing at sheath start based on B rotation.
242,-; 246,-,-,-,-,-,X,PN. Cannot confidently add bounds. Still no signatures if zoom in on paramter ranges
243,-,2001-09-25T20:16,2001-09-26T03:27,2001-09-26T10:04,2001-09-26T17:24,2001-09-27T01:50,X,PY. The FR region looks valid but its not certain that it is the driver of the strong shock. Possibly a glancing flank hit seeing a lot of sheath.
244,-,2001-09-29T09:40,-,2001-09-29T12:04,2001-09-30T19:14,2001-09-30T21:32,X,Y. CS. SIE.
245,-; 249,-,-,-,-,-,-,PN. Lean toward HSS because of enhanced temperature but not certain
246,247; 250,2001-10-01T22:01,-,2001-10-02T02:16,2001-10-03T00:11,-,-,M. CS. Possibly CS but not certain
247,246,-,-,2001-10-03T00:11,2001-10-03T16:34,-,-,PY. SIE. Probably a CME with a shock inside but not certain
248,-,-,-,-,-,-,-,PN. Cannot confidently add
249,-,-,2001-10-04T15:44,2001-10-04T21:59,2001-10-05T09:46,2001-10-05T20:05,X,PY. Mixed bounds from T. FR is smooth B portion
250,-,2001-10-11T16:49,-,2001-10-11T18:13,2001-10-12T09:00,2001-10-12T09:00,X,PY. CS
251,-,2001-10-21T16:39,-,2001-10-22T01:17,2001-10-22T20:01,2001-10-22T23:54,X,PY. SFRIS.
252,-,2001-10-26T19:06,2001-10-26T22:42,2001-10-27T02:20,2001-11-02T11:37,-,X,Y. CS. A very long structure with multiple FR but cannot confidently split into pieces. Most plausible FR bounds are roughly (1) 03:00-12:00 27 Oct; (2) 22:00 Oct 29 - 13:30 31 Oct; (3) 21:00 31 Oct - 12:00 02 Nov.
253,-,-,-,2001-11-05T20:20,2001-11-06T19:35,-,X, Y. CS. SIE. Probably a small flux rope with a shock in it driven by a following event but cannot confidently separate. Possibly more CME material trailing too.
254,-,-,-,-,-,-,-,PN. Cannot confidently add
255,-,2001-11-15T13:51,-,2001-11-15T19:29,2001-11-16T09:30,-,-,M. PU. Using ACE bounds bc of Wind issues
256,-,-,-,-,-,-,X, PN. Clear shock but cannot confidently identify a driver.
257,-,2001-11-24T05:51,2001-11-24T11:27,2001-11-24T17:00,2001-11-25T13:48,-,X, M. Glancing encounter if anything.
258,-,-,-,-,-,-,G,PN. Cannot confidently add bounds
259,-,-,-,-,-,-,GX,PN. Cannot confidently add bounds
260,-,2001-12-29T05:16,2001-12-29T12:33,2001-12-30T01:00,2001-12-30T13:18,2001-12-30T20:05,GX,PY. Very uncertain on mixed regions but seems unlikely that slow short FR would drive strong day long sheath ahead
261,-,-,-,-,-,-,X,PN. Cannot confidently add bounds
262,-,2002-02-28T05:06,-,2002-02-28T18:59,2002-03-02T00:00,-,-,Y. SFRIS.
263,264,2002-03-18T13:22,2002-03-19T02:40,2002-03-19T06:14,2002-03-20T13:17,2002-03-20T15:53,X,Y. SIE. CS.
264,263; 265,2002-03-20T13:17,2002-03-21T09:15,2002-03-21T17:28,2002-03-22T03:45,2002-03-22T06:16,X,PY. SIP. Clearly some structure shocking upstream event but interpretation of boundaries very uncertain.
265,264; 266,2002-03-22T03:45,2002-03-22T11:07,2002-03-22T16:12,2002-03-23T09:07,2002-03-23T11:24,X,PY. SFRIS. Not confident but best possible interpretation.
266,265; -,2002-03-23T11:21,2002-03-23T17:53,2002-03-23T20:40,2002-03-25T21:36,-,X,Y. CS. Multiple events interacting but cannot confidently split.
267,-,-,-,-,-,-,X,M. Could be something but cannot confidently add
268,269,2002-04-14T12:56,-,2002-04-14T14:31,2002-04-15T03:48,2002-04-15T07:17,X,PY. Sheath based on n. Back mixed is interaction region with next
269,270,-,2002-04-15T03:48,2002-04-15T07:17,2002-04-16T06:27,-,-,PY. Front mixed is interaction region with previous
270,271,2002-04-17T11:01,2002-04-17T19:11,2002-04-18T00:25,2002-04-19T08:24,2002-04-19T12:27,X,SIE.
271,270,2002-04-19T08:24,2002-04-20T00:00,2002-04-20T13:02,2002-04-21T15:50,2002-04-21T21:36,X,SIP.
272,-,-,-,-,-,-,X,M. Might have very weak FR between 04:00-16:00 on 4 April but not confident enough to add bounds
273,-,-,-,-,-,-,GX,M. Could be a very weak flank encounter but cannot confidentally add bounds
274,-,2002-05-11T10:36,-,2002-05-11T12:37,2002-05-12T00:00,-,GX,M. Generally uncertain. Some hint of B rotation but very messy.
275,276,2002-05-18T19:45,2002-05-19T00:09,2002-05-19T03:20,2002-05-19T22:54,2002-05-20T03:35,X,Y.
276,275,2002-05-20T03:35,2002-05-20T10:00,2002-05-20T17:19,2002-05-21T21:14,-,X,Y.
277,-,2002-05-23T10:44,2002-05-23T23:23,2002-05-23T23:02,2002-05-25T17:49,-,X,Y. Long flank encounter.
278,-,-,-,-,-,-,X,PN.Cannot confidently add any bounds
279,-,-,-,-,-,-,X,PN. Cannot confidently add any bounds
280,-,2002-07-17T15:56,-,2002-07-18T12:00,2002-07-19T08:10,2002-07-19T14:50,X,M. Clear shock and low beta region but not overly confident in interpretation.
281,-,-,-,-,-,-,X,PN. Cannot confidently identify as CME impact and not a HSS. Might have small FR embedded in front
282,-,-,-,-,-,-,-,PN. Cannot confidently add
283,-,-,-,-,-,-,-,PN. Cannot confidently add
284,-,-,-,-,-,-,X,M. Cannot confidently add bounds. Potential back apparent because of trailing event. Could argue for front where T/beta drops near Dreams boundary
285,286,2002-08-01T05:12,2002-08-01T09:00,2002-08-01T13:00,2002-08-01T23:09,-,X,PY. Distinct enough to try and separate from trailing CS.
286,285,-,-,2002-08-01T23:09,2002-08-04T01:07,-,-,PY. CS.
287,-,2002-08-18T18:46,2002-08-19T12:00,2002-08-19T19:12,2002-08-21T21:45,-,X,Y. CS.
288,-,-,-,-,-,-,GX,M. Might have weak FR starting around 02:00 27 Aug but cannot confidently add bounds.
289,-,-,-,-,-,-,-,PN. Cannot confidently add bounds
290,-,-,-,2002-09-03T02:48,2002-09-03T18:18,2002-09-04T01:12,X,PN. Cannot confidently add bounds
291,292,2002-09-07T16:21,2002-09-07T23:00,2002-09-08T07:01,2002-09-08T18:48,2002-09-08T19:44,X,PY. SFRIS
292,291,2002-09-08T19:44,-,2002-09-08T22:30,2002-09-10T21:52,-,GX,Y. CS.
293,-,2002-09-19T06:13,2002-09-19T16:23,2002-09-19T21:07,2002-09-20T22:31,-,X,PY. CS.
294,-,-,-,-,-,-,-,PN. Could be weak CS but cannot confidently add bounds
295,-,2002-09-30T19:11,-,2002-09-30T22:04,2002-10-01T15:00,2002-10-01T20:08,X,Y.
296,-,2002-10-02T22:39,-,2002-10-03T01:00,2002-10-04T15:45,-,X,Y. CS. Exact CS bounds uncertain.
297,-,-,-,-,-,-,X,PN. Cannot confidently add bounds
298,-,2002-11-16T23:16,2002-11-17T09:25,2002-11-17T20:24,2002-11-18T23:58,2002-11-19T12:55,-,Y.
299,-,-,-,-,-,-,-,PN. Cannot confidently add
300,-,-,-,-,-,-,X,PN. Cannot confidently add bounds
301,-,-,-,-,-,-,X,PN. Cannot confidently add bounds
302,-,2002-12-21T03:21,2002-12-21T07:12,2002-12-21T10:20,2002-12-23T10:32,-,GX,PY. PU. CS. Pile up and front mixed based on n.
303,-,-,2003-01-26T21:43,2003-01-27T01:40,2003-01-27T16:04,2003-01-28T00:34,X,
304,-,-,2003-02-01T13:06,2003-02-01T18:50,2003-02-03T07:28,-,X,PY. CS. Uncertain on front mixed because sharp B jump but density very weak
305,-,2003-02-17T21:50,2003-02-18T04:00,2003-02-18T08:00,2003-02-19T01:39,2003-02-19T16:00,X,M. Back of FR based on ACE beta
306,-,2003-03-20T04:30,2003-03-20T08:36,2003-03-20T12:41,2003-03-20T21:59,-,X,Y.
307,-,2003-05-09T05:16,-,2003-05-09T07:51,2003-05-10T10:50,2003-05-10T23:07,X,Y. CS.
308,-,-,-,-,-,-,X,PN. Cannot confidently add bounds.
309,-,2003-05-29T18:25,-,2003-05-30T00:37,2003-05-30T16:00,-,X,PY. CS.
310,-,-,-,-,-,-,X, PN. Likely the tail of a HSS
311,-,-,-,-,-,-,X,PN. Cannot confidently add bounds.
312,-,-,-,2003-06-16T22:33,2003-06-18T09:05,-,X,PY. CS
313,-,2003-07-06T12:25,2003-07-06T16:23,2003-07-06T20:08,2003-07-07T03:17,2003-07-07T11:42,-,M. PU. Small portion with FR-like rotation but rest is uncertain
314,-,-,-,-,-,-,-,PN. Cannot confidently add bounds
315,-,-,-,2003-07-23T14:33,2003-07-24T16:00,-,X,PY. CS.
316,-,-,2003-08-04T22:20,2003-08-05T00:46,2003-08-05T21:39,2003-08-06T01:44,GX,PY. CS. Likely merged events but not certain.
317,-,-,-,-,-,-,X,PN. Cannot confidently add bounds
318,-,2003-08-17T13:40,2003-08-18T00:25,2003-08-18T06:07,2003-08-19T04:35,2003-08-19T15:00,X,Y. Sheath based on jump in T but uncertain. Mixed regions also uncertain.
319,-,-,-,-,-,-,X,M. Might be weak encounter but cannot confidently add bounds
320,-,2003-10-24T14:48,-,2003-10-24T21:00,2003-10-25T01:17,-,X,PY. Times based on ACE due to Wind gaps
321,-,-,-,-,-,-,-, M. Might be weak flank encounter but cannot confidently add
322,-,-,-,-,-,-,X,PN. Cannot confidently add bounds.
323,-,-,-,-,-,-,X,PN. Cannot confidently add bounds.
324,-,2003-10-29T06:11,2003-10-29T08:34,2003-10-29T11:00,2003-10-30T03:00,-,-,M. Hard to be certain without plasma
325,-,-,-,2003-10-30T16:19,2003-11-02T00:00,-,-,PY. CS. Uncertain given plasma data gaps
326,-,-,-,-,-,-,-,PN. Probably HSS
327,-,-,-,-,-,-,-,PN. Cannot confidently add
328,-,-,-,-,-,-,-,PN. Cannot confidently add
329,-,-,2003-11-20T08:35,2003-11-20T12:00,2003-11-21T01:40,2003-11-21T08:00,X,Y.
330,-,-,-,2004-01-09T15:00,2004-01-11T05:00,-,X,M. PU. CS.
331,-,2004-01-22T02:10,-,2004-01-22T08:00,2004-01-25T04:00,-,X,M. CS. Front based on Wind B. At least three interacting components.
332,-,-,-,-,-,-,X,M. Cannot confidently add bounds. Only have T signature
333,-,2004-04-03T09:55,2004-04-03T15:37,2004-04-04T01:11,2004-04-05T14:47,2004-04-05T19:11,X,Y.
334,-,-,-,-,-,-,-,PN. Cannot confidently add
335,-,-,-,-,-,-,-,PN. Cannot confidently add
336,-,-,-,2004-04-26T16:12,2004-04-27T20:15,-,GX,PY. CS.
337,-,-,-,2004-04-30T13:00,2004-05-03T02:18,-,X,PY. CS.
338,-,-,,-,-,-,-,PN. Cannot confidently add bounds.
339,340,2004-07-22T09:45,-,2004-07-22T13:26,2004-07-24T05:45,-,X,PY. CS. SIE
340,339; 341,2004-07-24T05:32,2004-07-24T11:55,2004-07-24T17:20,2004-07-25T12:10,2004-07-25T15:00,X,PY. SIP
341,340; 342,2004-07-25T15:00,2004-07-25T17:45,2004-07-25T21:05,2004-07-26T17:51,2004-07-26T22:25,X,Y. PU between events. Front mixed based on T.
342,341,2004-07-26T22:25,2004-07-27T01:36,2004-07-27T03:11,2004-07-27T15:24,2004-07-27T18:22,-,Y.
343,-,2004-08-01T01:44,2004-08-01T09:00,2004-08-01T17:14,2004-08-02T04:00,2004-08-02T08:38,-,M. Probably just weak glancing encounter. FR set as smooth part
344,-,-,-,-,-,-,-,PN. Cannot confidently add bounds
345,-,2004-08-29T09:09,-,2004-08-29T18:45,2004-08-30T17:46,2004-08-30T21:45,GX,PY.
346,-,2004-09-13T19:42,2004-09-14T15:00,2004-09-14T17:59,2004-09-15T14:23,-,X,M. Uncertain on interpretation. Could be shock and HCS crossing
347,-,-,-,2004-09-17T21:00,2004-09-19T16:58,-,X,M. CS.
348,-,-,-,-,-,-,-,PN. Cannot confidently add
349,350,2004-11-07T18:00,-,2004-11-07T20:10,2004-11-09T09:20,-,X,PY. CS.
350,349; 351,2004-11-09T18:25,-,2004-11-09T20:38,2004-11-10T16:47,-,X,Y. Bounds set at low beta region
351,350,2004-11-11T16:47,2004-11-11T22:31,2004-11-12T08:51,2004-11-13T08:08,2004-11-13T21:30,X,Y. CS.
352,-,-,-,2004-12-10T05:21,2004-12-10T21:35,-,X,Y.
353,-,-,-,2004-12-12T22:00,2004-12-13T19:00,-,X,PY. Cannot confidentally add sheath. Small n bump in front of FR but suspicious of 32 hr long sheath in front of weak CME.
354,-,-,2004-12-27T05:00,2004-12-27T16:12,2004-12-28T17:58,-,X,M.
355,-,-,-,2005-01-07T08:44,2005-01-09T18:00,-,X,PY. CS.
356,-,-,2005-01-16T09:27,2005-01-16T16:10,2005-01-17T06:30,2005-01-17T08:06,X,M. Weak event and not certain on bounds
357,-,-,2005-01-18T21:35,2005-01-19T03:02,2005-01-20T02:41,-,X, PY. Front based on B. Not particularly using plasma due to gaps
358,-,2005-01-21T16:46,2005-01-21T18:23,2005-01-21T23:45,2005-01-22T17:00,-,X,PY.
359,-,-,-,-,-,-,X,PN. Cannot confidently add bounds
360,-,-,2005-02-16T10:33,2005-02-16T12:14,2005-02-16T23:30,-,X,M. Front uncertain due to misalignment in B and n signatures
361,-,-,-,2005-02-17T22:27,2005-02-19T08:23,-,-,PY. CS. Have unusual T enhancement before CS but decrease in B so not labeling it as sheath
362,-,-,-,2005-02-20T12:00,2005-02-23T19:00,-,-,M. Weak but complicated structure. Some portions likely CME but uncertain.
363,-,-,-,2005-05-08T17:04,2005-05-11T04:30,-,GX,PY. Embedded in HSS. Part of upstream may be sheath (small n enhancement) but suspect mostly SIR/HSS.
364,-,2005-05-15T02:10,-,2005-05-15T05:15,2005-05-19T02:51,-,X,Y. Probably single massive event. Some portion of tail may be a low density wake before SW recovers
365,-,2005-05-20T03:00,-,2005-05-20T06:50,2005-05-22T02:23,-,X,PY. CS.
366,-,-,-,2005-05-28T03:18,2005-06-01T03:05,-,X,PY. CS. Multiple interacting structures. Unclear if/where to separte sheath at front
367,-,-,2005-06-12T06:57,2005-06-12T15:00,2005-06-13T13:00,-,X,Y.
368,-,2005-06-14T17:55,-,2005-06-15T05:15,2005-06-16T08:08,-,X,Y. Interacting with HSS behind it.
369,-,-,-,-,-,-,X,PN. Suspect just HSS.
370,-,2005-07-10T02:42,-,2005-07-10T10:47,2005-07-12T14:23,-,GX,PY. CS.
371,-,2005-07-17T00:50,-,2005-07-17T15:18,2005-07-18T05:30,2005-07-18T23:00,X,PY. Uncertain on interpretation but best guess
372,-,-,-,2005-08-08T23:33,2005-08-09T11:33,-,X,M. Not certain is a CME.
373,-,-,2005-08-10T04:47,2005-08-10T06:14,2005-08-10T10:29,2005-08-10T13:26,-, PY.
374,-,-,-,-,-,-,X,PN. Cannot confidently add bounds
375,-,-,-,-,-,-,X,PN. Mostly SIR/HSS with a small FR swept up in front (~8:00-10:30 on 24 Aug). Reverse shock around 20:20 on 25 Aug?
376,-,2005-09-02T13:48,2005-09-02T17:33,2005-09-02T19:37,2005-09-03T05:06,-,X, PY.
377,378,2005-09-11T00:59,-,2005-09-11T05:41,2005-09-12T06:00,-,X,PY. Probably flank encounter but plasma gaps make interpretation difficult
378,377,-,-,2005-09-12T06:00,2005-09-14T08:00,-,X,PY. CS. Cannot confidently split into smaller components
379,-,-,-,-,-,-,X,PN. Mostly HSS with small swept up FR at CDAW bounds. Smaller than we include.
380,-,-,-,-,-,-,-,PN. Weak and little more than T signature. Cannot confidently add bounds
381,-,-,2005-10-31T02:00,2005-10-31T05:44,2005-10-31T18:42,2005-10-31T21:00,-,Y.
382,-,2005-12-31T12:33,-,2005-12-31T14:15,2006-01-01T13:27,2006-01-01T17:00,X,Y. SIE. PU. Small density enhancement in front but not proper shock
383,-,2006-02-05T18:14,2006-02-05T19:06,2006-02-05T20:40,2006-02-06T10:45,2006-02-06T12:41,-,Y. PU. Small density enhancement in front but not proper shock
384,-,2006-04-13T11:20,-,2006-04-13T14:18,2006-04-14T23:15,-,X,Y. CS. Sheath based on n.
385,-,-,-,-,-,-,GX,PN. Weak and cannot confidently add bounds
386,-,-,-,-,-,-,-,PN. Weak and cannot confidently add bounds
387,-,2006-07-09T20:40,2006-07-10T17:45,2006-07-10T20:06,2006-07-11T14:44,2006-07-11T17:24,GX,PY. Being pushed from behind by HSS
388,-,2006-08-19T10:57,-,2006-08-19T16:40,2006-08-21T15:45,-,GX, PY. CS. Sheath based on density but bounds uncertain
389,-,-,-,2006-08-30T21:06,2006-09-01T07:00,-,X,PY. CS.
390,-,-,2006-09-30T02:52,2006-09-30T08:35,2006-09-30T19:44,2006-10-01T08:55,GX,Y.
391,-,-,-,-,-,-,X,PN. Cannot confidently add bounds
392,-,-,-,2006-11-18T07:11,2006-11-20T04:47,-,X,PY. CS. Weak CS
393,-,2006-11-28T13:00,-,2006-11-28T19:31,2006-11-30T14:15,-,X,Y. Uncertain on interpretation due to data gaps
394,-,2006-12-14T13:51,2006-12-14T21:09,2006-12-14T22:36,2006-12-15T08:10,2006-12-15T16:18,X,Y.
395,-,-,-,-,-,-,-,PN. Cannot confidently add bounds
396,-,-,-,-,-,-,-,PN. Cannot confidently add bounds with data gaps in potential sheath region
