#,Friends?,Sheath (t0),Sh/FR mix (t1),FR Start (t2),FR End (t3),Leg End (t4),Mixed End (t5),u0,u1,u2,u3,u4,u5,Enh?,HSS?,HSScat,Data Gap?,Comments
160,159?,2000-05-23T23:42,,2000-05-24T12:00,2000-05-26T15:46,-,-,0,-,2,3,-,-,N,?,-,W,Very strong sheath or SIR. Very weak long FR that might actually be HSS. T is a little low tho.
161,-,2000-06-04T15:02,,2000-06-04T22:00,2000-06-05T22:30,-,-,1,-,2,3,-,-,B,N,X,-,Super ugly and weak. FR too ugly to attempt splitting. n enhancement in back
162,-,2000-06-08T09:07,,2000-06-08T16:47,2000-06-10T01:18,-,-,1,-,1,1,-,-,N,N,X,W?,Wind B gets suspicious at time of plasma gap. Glancing blow? Little rot but very smooth.
163,-,2000-06-11T08:01,,2000-06-11T09:23,2000-06-11T17:29,-,-,2,-,3,3,-,-,N,N,X,-,Weak case. Guessing based on T.
164,-,2000-06-12T22:08,,2000-06-13T13:14,2000-06-14T06:00,-,-,2,-,2,3,-,-,N,N,GX,-,Weak case. Almost no B signature. Relying on T and trusting RC.
165,-,2000-06-18T09:15,,2000-06-18T13:27,2000-06-18T17:00,-,-,3,-,2,3,-,-,N,N,X,N,Weak case. No B rot but kind of smooth and low T.
166,167,2000-06-23T12:57,,2000-06-24T07:32,2000-06-25T20:18,-,2000-06-26T00:43,1,-,1,3,-,1,N,N,X,-,Long flank encounter. Mixed region until next case.
167,166,2000-06-26T00:43,,2000-06-26T10:00,2000-06-27T00:00,-,-,2,-,1,2,-,-,N,N?,X,W,FR is weak. Based mostly on T. Could be embedded in HSS since v is a little high behind
168,-,2000-07-01T01:54,,2000-07-01T08:24,2000-07-02T03:34,-,2000-07-02T21:03,2,-,1,2,-,3,N,N,-,-,Think split in FR is mixed region not leg
169,170,2000-07-10T06:00,,2000-07-11T02:00,2000-07-11T12:09,-,-,1,-,1,1,-,-,N,N,X,W,Interacts with next case. Long sheath and weak FR B signatures but drop in T
170,169; 172,2000-07-11T12:09,,2000-07-11T22:35,2000-07-12T23:49,-,2000-07-13T09:42,1,-,1,3,-,1,N,N,-,-,Suspicious of some Wind B in sheath. Don't think is two FR but might have leg
171,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,X,-,Think this is just part of prev case.
172,170; 173,2000-07-13T09:42,,2000-07-13T15:35,2000-07-14T02:40,-,2000-07-14T15:32,1,-,2,1,-,-,N,N?,-,A,ACE plasma off at end. Think leg but could just be mixed. Enough B rot/low T to say not HSS?
173,172; 174,2000-07-14T15:32,,2000-07-14T17:53,2000-07-15T02:23,-,2000-07-15T07:00,1,-,1,3,,3,N,N,-,AW,No plasma data. Weak signature. Guessing mixed until next case.
174,173; 175,-,,2000-07-15T07:00,2000-07-15T14:23,-,-,-,-,3,1,-,-,N,N,-,AW,No plasma data. Glancing blow? Smooth but little rot. Interacts with next case
175,174,2000-07-15T14:23,,2000-07-15T19:53,2000-07-16T09:54,2000-07-17T08:00,-,0,-,1,2,1,-,N,N?,-,AW,No plasma at front. SW v high behind so might be in HSS?
176,-,2000-07-19T15:27,,2000-07-20T08:21,2000-07-21T06:27,-,-,1,-,2,3,-,-,Y,N,-,-,Could maybe split up FR? Otherwise has enhancement in n in middle
177,178,2000-07-23T09:50,,2000-07-23T19:20,2000-07-26T04:10,-,2000-07-26T18:57,2,-,1,2,-,3,N,N,X,W,Glancing blow with weak B signature? Mixed region until next case?
178,177; 179,2000-07-26T18:57,,2000-07-27T08:28,2000-07-27T20:53,-,2000-07-28T06:38,3,-,3,2,-,2,N,N,X,-,Uncertain on splitting prev/sheath/FR. Mixed region until next case?
179,178,2000-07-28T06:38,,2000-07-28T14:24,2000-07-29T10:12,-,2000-07-29T18:12,0,-,1,2,-,3,Y,N,X,-,Could maybe have leg?
180,-,2000-07-31T19:28,,2000-07-31T23:28,2000-08-01T13:11,-,-,3,-,1,1,-,-,N,Y?,-,N,Weak glancing blow but low T.  HSS after?
181,182,2000-08-10T05:13,,2000-08-10T20:52,2000-08-11T18:43,-,-,0,-,1,1,-,-,N,N,X,W,Wind plasma gap. Interacts with next case
182,-,2000-08-11T18:43,,2000-08-12T05:31,2000-08-13T02:56,-,-,0,-,1,2,1,-,Y,N,X,W,Wind plasma gap. Interacts with prev case.
183,-,-,,2000-09-02T23:29,2000-09-03T13:00,-,2000-09-03T22:32,-,-,2,3,-,2,N,N?,X,-,SW v slightly elevated behind? Glanicing blow with weak B and little rot
184,185,2000-09-04T13:13,,2000-09-04T21:59,2000-09-05T10:53,-,2000-09-06T02:30,0,-,2,2,-,2,N,N,-,-,Mixed until next case.
185,184; 186,-,,2000-09-06T02:30,2000-09-06T13:14,-,2000-09-06T17:02,-,-,2,2,-,2,N,N,X,-,Think is separate from prev case but not certain
186,185,2000-09-06T17:02,,2000-09-07T01:26,2000-09-07T12:41,-,-,0,-,2,2,-,-,N,N,X,-,Don't think extends all the way to next case?
187,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,X,-,Maybe HSS? Maybe FR from 09-08T18:00 to 09-09T15:00?
188,-,2000-09-17T16:04,,2000-09-17T23:26,2000-09-18T15:06,2000-09-19T07:21,2000-09-19T12:00,1,-,1,2,2,2,N,N?,X,-,Could be in tail of HSS.
189,190,2000-10-03T01:01,,2000-10-03T12:09,2000-10-04T14:06,-,2000-10-05T03:34,1,-,2,-,2,1,M?,N,X,-,Enhancement in Wind but not ACE. Interacts with next case
190,189,2000-10-05T03:34,,2000-10-05T19:11,2000-10-06T19:39,2000-10-07T11:00,-,0,-,2,2,3,-,N,N,X,-,Guessing on leg but pretty smooth
191,-,2000-10-12T22:28,,2000-10-13T17:42,2000-10-14T15:30,-,2000-10-14T19:12,0,-,2,2,-,1,N,Y?,GX,-,SW pretty elevated behind.
192,-,2000-10-28T09:27,,2000-10-28T22:33,2000-10-29T14:32,2000-10-29T23:22,-,1,-,1,2,1,-,N,N,X,-,Might have leg? Small kink in profiles but in many params
193,194,2000-11-06T09:30,2000-11-06T13:26,2000-11-06T22:31,2000-11-07T16:03,-,2000-11-08T03:00,1,1,0,2,2,1,N,N,X,-,Interacts with next. Not certain on leg
194,193,2000-11-07T18:05,,2000-11-07T20:30,2000-11-08T03:18,-,-,-,-,2,2,-,-,N,N,X,-,Weak but probably thing. Too far from next case?
195,-,2000-11-08T09:59,,2000-11-08T14:05,2000-11-09T12:11,-,-,3,-,3,3,-,-,N,N,X,AW,Plama gaps. Weak glancing blow. Too far from next case?
196,197,2000-11-10T06:20,,2000-11-10T11:02,2000-11-10T17:11,2000-11-10T23:57,2000-11-11T04:00,1,-,2,3,3,3,N,N,X,A,FR is messy. Some rot to start then long leg/mixed region
197,196,2000-11-11T04:00,,2000-11-11T10:17,2000-11-12T00:00,-,-,1,-,3,3,-,-,N,?,-,-,All flank encounter? Or is HSS but slightly low T
198,199,2000-11-26T11:43,,2000-11-27T09:30,2000-11-27T20:27,2000-11-28T03:00,2000-11-28T05:28,2,-,2,2,3,2,N,N,X,-,Interacting with next
199,198,2000-11-28T05:29,,2000-11-28T22:28,2000-11-29T16:35,-,2000-11-29T20:58,2,-,1,2,2,3,Y,N,-,-,T signature strong than B signature
200,-,2000-12-03T03:54,,2000-12-03T13:07,2000-12-05T07:12,-,-,1,-,3,2,-,-,N,N,X,-,Could split to two FR around bump at 12-04T12:00? Is ugly with lots of structure. Too slow for HSS?
201,202,2000-12-21T13:01,,2000-12-22T08:12,2000-12-22T16:25,-,2000-12-22T19:40,2,-,3,3,-,2,N,N,-,-,Weak event but smooth B and lower T. Could be nothing
202,201,2000-12-22T19:41 ,,2000-12-23T00:50,2000-12-23T06:15,2000-12-23T11:56,-,1,-,2,3,2,-,N,N,-,-,Think has leg at B kink
203,204,2001-01-23T10:48,,2001-01-24T09:13,2001-01-24T23:27,2001-01-25T19:12,2001-01-25T21:45,0,-,1,2,3,2,N,N,X,-,Prob extends until next case? Ugly FR but transition from rot to not
204,203,2001-01-25T21:45,,2001-01-26T03:23,2001-01-26T14:56,-,-,3,-,2,2,-,-,N,N,-,-,Weak sheath/interaction region with prev case. Weak FR but lowish T
205,206,2001-03-03T11:21,,2001-03-04T05:57,2001-03-04T13:01,-,2001-03-04T16:10,1,-,1,3,-,3,N,N,X,-,Think shorter first portion is full FR? Dreams bounds
206,205,2001-03-04T13:01,,2001-03-04T16:10,2001-03-05T02:58,-,-,2,-,1,1,-,-,M?,Y?,GX,-,Slight enh in ACE n. Probably HSS behind
207,-,2001-03-19T11:33,,2001-03-19T19:55,2001-03-20T18:17,2001-03-21T23:42,2001-03-22T14:00,1,-,2,2,2,2,N,N,X,-,Fairly smooth rot followed by long leg? Don't think is separate CME
208,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,X,-,Think this is just leg of prev case
209,-,2001-03-22T14:00,,2001-03-22T22:30,2001-03-23T04:53,-,-,1,-,2,2,-,-,N,N?,X,-,Slightly elevated v behind but not quite HSS?
210,211,2001-03-27T01:59,,2001-03-27T04:53,2001-03-27T18:11,-,-,1,-,2,1,-,-,N,M?,X,-,Think this is a glancing event not just sheath of next. HSS behind next?
211,210,2001-03-27T18:11,,2001-03-27T23:15,2001-03-28T08:49,-,2001-03-28T17:58,2,-,2,3,-,3,N,Y?,-,-,Embedded in HSS and interacting with prev
212,213,2001-03-31T01:21,,2001-03-31T01:21,2001-03-31T12:23,-,-,1,-,1,3,-,-,N,M?,X,-,Not sure how to split this and next case. A lot of ugly between small B rot then glancing sig
213,212; 214,2001-03-31T12:23,,2001-03-31T15:00,2001-03-31T22:00,-,-,3,-,2,1,-,-,N,Y,-,-,Not sure how to split this and prev case. A lot of ugly between small B rot then glancing sig. Also case behind
214,213,2001-03-31T22:00,,2001-04-01T05:27,2001-04-02T19:50,-,2001-04-03T17:54,2,-,1,2,-,3,M?,N,-,AW,Small gaps in both sats. Too far from next case? Small enhancement
215,-,2001-04-04T14:55,,2001-04-04T20:54,2001-04-05T08:22,-,2001-04-05T11:14,0,-,1,2,-,3,N,Y,X,-,HSS behind?
216,-,2001-04-08T11:22,,2001-04-09T01:19,2001-04-10T10:57,-,-,1,-,3,2,-,-,N,M?,X,-,Structure in sheath. Interacting with SIR/HSS? Uncertain on FR start
217,218,2001-04-11T14:09,,2001-04-11T22:48,2001-04-13T08:37,2001-04-13T07:26,-,1,-,1,2,1,-,N,N,X,-,Glancing main part then deeper in leg? First part of FR is uglier than extended second part
218,217,2001-04-13T07:26,,2001-04-13T13:11,2001-04-14T01:39,2001-04-14T11:18,-,0,-,1,1,2,-,N,M?,X,-,Slightly elevated v behind
219,-,2001-04-15T16:28,,2001-04-15T18:04,2001-04-16T02:04,-,-,3,-,2,2,-,-,N,N,-,A,Weak signature and ACE plasma gap
220,-,2001-04-18T00:46,,2001-04-18T12:23,2001-04-20T00:00,-,2001-04-20T11:38,0,-,1,2,-,2,N,N,X,-,Straightforward glancing case?
221,-,2001-04-21T15:29,,2001-04-22T00:18,2001-04-23T00:02,-,2001-04-23T04:42,1,-,0,2,-,3,N,N,-,-,Could maybe split off leg.
222,-,2001-04-28T05:00,,2001-04-28T15:45,2001-04-29T12:53,2001-05-01T02:00,2001-05-02T05:15,0,-,1,2,2,3,M?,N,X,-,Not sure on FR structure.
223,-,-,,2001-05-03T12:00,2001-05-04T09:05,-,-,-,-,3,2,-,-,N,N,-,-,Very weak. Mostly going off T signature
224,-,2001-05-07T18:24,,2001-05-07T22:17,2001-05-08T08:19,-,2001-05-08T11:01,3,-,1,3,-,2,N,Y,X,-,Fairly weak but T signature. Interacts with HSS? Next case embedded further back in HSS?
225,-,-,,2001-05-09T14:29,2001-05-10T22:50,-,-,-,-,1,1,-,-,N,Y,X,-,Think RC sheath is SIR. CME seems too small/slow to make that sheath? Could split leg?
226,-,-,,2001-05-11T14:19,2001-05-12T00:08,-,-,-,-,2,3,-,-,N,N,-,-,HSS too far behind to interact? Very weak and guessing based only on T
227,-,2001-05-27T14:59,,2001-05-28T04:55,2001-05-29T06:04,-,2001-05-29T22:12,0,-,1,3,-,3,N?,N,X,-,Too messy to ID a clean enhancement. Could have long leg but uncertain.
228,-,2001-06-07T09:29,,2001-06-07T18:00,2001-06-08T05:31,-,2001-06-08T07:44,1,-,2,3,-,3,N,N,GX,-,Too messy to ID a clean enhancement.
229,-,2001-06-18T20:00,,2001-06-19T00:41,2001-06-19T14:24,-,-,1,-,1,1,-,-,N,Y,GX,-,Glancing blow in front of HSS
230,-,2001-06-26T17:39,,2001-06-27T04:36,2001-06-28T05:21,-,2001-06-28T16:41,3,-,1,2,-,2,N,N,-,-,Clean glancing blow
231,-,2001-07-08T12:00,,2001-07-09T04:21,2001-07-10T07:42,2001-07-12T03:27,-,2,-,1,2,-,2,N,N,X,-,Long case should maybe be multiple? Or just long leg.
232,-,-,,2001-07-13T17:26,2001-07-14T01:53,-,-,-,-,2,2,-,-,N,M?,-,-,Weak case based bounds on T. Maybe weak HSS behind
233,-,2001-08-03T07:16,,2001-08-03T11:51,2001-08-03T14:20,-,-,2,-,2,2,-,-,N,N,X,-,Small glancing case but does have T sig?
234,-,2001-08-05T12:28,,2001-08-06T06:43,2001-08-06T23:59,-,-,2,-,2,3,-,-,N,N,X,-,Ugly case. Some structure in sheath
235,-,2001-08-12T21:26,,2001-08-13T07:00,2001-08-13T23:14,-,-,2,-,2,2,-,-,N,Y?,X,-,In HSS? Not sure on splitting SIR/sheath
236,-,2001-08-15T19:26,,2001-08-15T05:00,2001-08-16T06:50,-,-,3,-,3,3,-,-,N,N,-,~A,ACE has plasma but suspicious. Might be nothing. Has strong T signature but not much else
237,-,2001-08-17T11:03,,2001-08-17T23:59,2001-08-18T15:20,-,2001-08-18T19:12,0,-,1,2,-,3,Y,N?,X,-,Marginally elevated v behind?
238,-,2001-08-27T19:39,,2001-08-28T03:27,2001-08-28T19:21,-,-,0,-,1,1,-,-,N,N,GX,-,Glancing blow
239,240,2001-08-30T13:57,,2001-08-30T19:35,2001-08-31T06:48,-,2001-08-31T08:29,0,-,1,2,-,2,N,N,X,-,Could maybe split off leg. Interacts with next
240,239; 241,2001-08-31T08:29,,2001-09-01T04:01,2001-09-01T15:59,-,-,2,-,2,2,-,-,N,N,-,-,End of prev/sheath hard to interpret. Interacts with next
241,239,-,,2001-09-01T15:59,2001-09-02T18:18,-,2001-09-02T22:00,-,-,2,2,-,3,N,N,GX,-,Ugly weak case so major guess
242,243,2001-09-13T02:31,,2001-09-13T18:28,2001-09-14T02:00,-,-,2,-,1,1,-,-,N,N,X,-,Mini FR squished by next case?
243,242,2001-09-14T02:00,,2001-09-14T04:56,2001-09-14T23:35,-,-,1,-,3,2,-,-,Y?,N,G,-,Ugly and would guess HSS but Bz is pretty smooth. Could split around 09-14T12:40
244,245,2001-09-23T19:39,,2001-09-24T06:17,2001-09-24T17:08,-,2001-09-25T00:00,2,-,2,2,-,3,N,N,X,~A,ACE gets suspicious. Mixed until next case.
245,244; 246,2001-09-25T00:00,,2001-09-25T05:14,2001-09-25T20:16,-,-,3,-,3,1,-,-,N,N,X,~A,ACE gets suspicious. Not certain is thing but going off T and Dreams
246,245,2001-09-25T20:16,,2001-09-26T10:04,2001-09-26T17:24,-,2001-09-27T01:50,1,-,1,2,-,2,N,N,X,A,Mixed region could be leg
247,248,2001-09-29T09:40,,2001-09-29T14:23,2001-09-30T05:39,2001-09-30T16:46,2001-09-30T19:14,1,-,1,2,3,1,N,N,X,-,Guessing kink is leg but could be second FR. Interacts with next case
248,247; 249,2001-09-30T19:14,,2001-09-30T22:33,2001-10-01T11:51,2001-10-01T22:01,-,0,-,1,2,2,-,N,N,-,-,Guesssing leg not second FR. Interacts with prev/next case
249,248; 250,2001-10-01T21:15,,2001-10-02T02:00,2001-10-02T08:04,-,2001-10-02T12:00,1,-,2,3,-,2,Y?,N,-,A,ACE plasma gap. Mixed until next case
250,249; 251,2001-10-02T12:52,,2001-10-02T14:39,2001-10-03T00:11,-,-,1,-,2,2,-,-,N,N,-,W,Wind B goes weird. Short but pretty smooth. Interacts with prev/next
251,250,-,,2001-10-03T04:00,2001-10-03T16:34,-,-,-,-,2,2,-,-,M?,N,-,W,Fairly smooth B and low T. Maybe enh in ACE but Wind gap
252,-,2001-10-04T15:44,,2001-10-04T21:59,2001-10-05T09:46,-,2001-10-05T20:05,2,-,1,1,-,3,N,N,X,-,Think mixed region?
253,-,2001-10-11T16:49,,2001-10-12T03:38,2001-10-12T08:20,-,-,1,-,1,1,-,-,N,N?,X,-,SW v slightly elevated behind? Small/glancing but clean
254,-,2001-10-21T16:39,,2001-10-22T01:17,2001-10-22T13:32,-,2001-10-22T20:10,1,-,2,3,-,2,Y?,N?,X,-,Think mixed not leg. SW v slightly elevated behind
255,256,2001-10-26T19:06,,2001-10-27T02:19,2001-10-28T03:23,-,-,2,-,1,1,-,-,N,N,X,W,Little rot but smooth B. Interacts with next case
256,255; 257,2001-10-28T03:19,,2001-10-29T22:12,2001-10-30T10:47,2001-10-31T13:48,-,1,-,2,2,1,-,N,N,X,-,Think leg? Interacts with next case
257,256; 258,2001-10-31T13:48,,2001-10-31T22:04,2001-11-01T03:39,2001-11-01T17:51,-,1,-,1,2,2,-,N,N,-,-,Interacts with next case?
258,257,-,,2001-11-01T17:51,2001-11-02T05:51,-,2001-11-02T10:17,-,-,2,3,-,2,N,N,-,-,Think is thing? Might be extension of previous
259,260,2001-11-05T11:50,,2001-11-05T20:20,2001-11-06T01:50,-,-,2,-,2,1,-,-,N,N,X,AW,Small smooth case. Interacts with next
260,259,2001-11-06T01:50,,2001-11-06T13:26,2001-11-06T19:35,2001-11-07T17:05,-,1,-,2,3,3,-,N,N,-,AW,Might have leg? Data gaps make impossible to ID 
261,-,2001-11-19T18:15,,2001-11-20T01:54,2001-11-20T08:46,2001-11-21T03:48,-,0,-,2,3,3,-,Y,N,X,-,Pretty turbulent. Guessing at leg
262,-,2001-11-24T06:51,,2001-11-24T14:00,2001-11-25T08:30,-,2001-11-25T13:48,2,-,2,3,-,2,N,N,X,A,Guessing mixed not leg
263,-,-,,2001-12-13T05:24,2001-12-14T10:03,-,-,-,-,1,1,-,-,N,N?,G,A,Smooth and simple. HSS too far behind to interact?
264,265,-,,2001-12-28T00:00,2001-12-29T05:16,-,-,-,-,3,1,-,-,Y,N,GX,A,Very uncertain is thing. Small T drop but otherwise nothing. Interacts with next
265,265; 266,2001-12-29T05:16,,2001-12-30T01:20,2001-12-30T10:21,2001-12-30T13:18,2001-12-30T20:05,1,-,2,3,3,1,N,N,GX,A,Guessing on leg and mixed. Interacts with prev/next
266,265,2001-12-30T20:05,,2001-12-30T23:10,2001-12-31T07:46,-,-,1,-,1,3,-,-,N,N,X,A,Weak case. Glancing?
267,-,2002-02-28T05:06,,2002-02-28T18:59,2002-03-01T12:46,2002-03-01T22:44,-,1,-,1,3,2,-,N,N,-,-,Guessing on leg. Front of FR denser than back
268,269,2002-03-18T13:22,,2002-03-19T06:14,2002-03-19T22:53,2002-03-20T13:17,2002-03-20T15:53,0,-,1,2,2,1,N,N,X,-,Kink at leg? Front part of FR pretty turbulent. Smooth leg. Interacts with next
269,268; 270,2002-03-20T13:17,,2002-03-21T09:15,2002-03-22T03:45,-,2002-03-22T06:16,3,-,2,1,-,3,N,M?,X,-,Could be HSS at front. Long sheath for weak CME. Interacts with next
270,269; 271,2002-03-22T06:16,,2002-03-22T13:50,2002-03-23T11:24,-,2002-03-23T11:24,1,-,2,2,-,2,N,N,X,-,Interacts with prev and next. Unclear transition from sheath to glancing/leg FR.
271,270; 272,2002-03-23T11:24,,2002-03-24T13:11,2002-03-25T21:36,-,2002-03-24T12:38,1,-,2,2,-,2,N,N,X,-,Ugly mess. Guessing multiple cases not one distaster case (271 - 273)
272,271; 273,2002-03-25T21:36,,2002-03-23T11:24,2002-03-24T21:38,-,2002-03-25T04:00,2,-,1,2,-,1,N,N,-,-,Ugly mess. Guessing multiple cases not one distaster case (271 - 273)
273,272,2002-03-25T01:14,,2002-03-25T06:38,2002-03-25T14:39,-,2002-03-25T21:36,2,-,1,2,-,3,N,Y?,-,-,Ugly mess. Guessing multiple cases not one distaster case (271 - 273). HSS after?
274,-,2002-04-11T21:56,,2002-04-12T01:39,2002-04-12T22:43,2002-04-13T15:20,-,2,-,1,3,3,-,N,N,X,-,Guessing is leg not mixed but messy case
275,276,2002-04-14T12:56,,2002-04-14T14:31,2002-04-15T03:48,-,2002-04-17T11:07,2,-,2,2,-,3,N,N,X,-,Ugly but probably a thing. Mixed until next case?
276,275,-,,2002-04-15T07:17,2002-04-16T06:27,-,-,-,-,2,2,-,-,N,N,-,-,Weak but probably a thing
277,278,2002-04-17T11:01,,2002-04-18T00:25,2002-04-19T02:17,-,2002-04-19T08:24,1,-,1,2,-,1,N,N,X,-,Interacts with next case. Little rot but smooth
278,277,2002-04-19T08:24,,2002-04-20T06:57,2002-04-21T15:50,-,-,1,-,3,2,-,-,Y,N,X,~A,ACE plasma becomes suspicious. Sheath/FR bound hard to ID
279,-,2002-04-23T05:00,,2002-04-24T03:44,2002-04-24T15:55,-,2002-04-24T23:59,1,-,2,2,-,3,N,N,X,W,Some Wind gaps.
280,281,2002-05-10T11:09,,2002-05-10T22:20,2002-05-11T10:36,-,-,1,-,2,1,-,-,N,N,GX,-,Weak but probably a thing. Interacts with next
281,280,2002-05-11T10:36,,2002-05-11T12:37,2002-05-11T20:23,-,-,1,-,3,3,-,-,N,M?,GX,-,Very messy. Maybe HSS after?
282,281; 283,2002-05-18T19:45,,2002-05-19T03:20,2002-05-19T22:54,-,2002-05-20T03:35,0,-,1,2,-,2,N,N,X,-,Pretty smooth. Mixed until next case.
283,282,2002-05-20T03:35,,2002-05-20T17:19,2002-05-21T21:14,-,-,0,-,2,1,-,-,N,N,X,-,Could maybe add mixed.
284,-,2002-05-23T10:44,,2002-05-23T23:02,2002-05-25T17:49,-,-,0,-,2,2,-,-,N,N,X,-,Big and boring but smooth. Low enough T to think not HSS?
285,-,2002-05-30T02:15,,2002-05-30T07:09,2002-05-30T19:22,-,-,1,-,3,3,-,-,N,N,X,-,This could be nothing.
286,-,-,,2002-06-27T16:57,2002-06-28T01:08,-,-,-,-,3,3,-,-,N,N,X,-,Hint of something in T but could be nothing
287,288,2002-07-17T15:56,,2002-07-18T12:00,2002-07-19T08:10,-,2002-07-19T14:50,1,-,2,2,-,3,N,N,X,W,Wind plasma missing. Mixed until next case
288,287,2002-07-19T14:50,,2002-07-20T02:00,2002-07-21T11:20,-,2002-07-22T06:00,0,-,1,3,-,2,N,N,X,W,Wind plasma gap and problematic B. Glancing/leg?
289,290,2002-07-31T11:37,,2002-07-31T17:33,2002-08-01T05:10,2002-08-01T05:12,-,2,-,2,3,1,-,N,N,X,-,Putting as leg. Could be mixed. Interacts with next
290,289; 291,2002-08-01T05:12,,2002-08-01T11:33,2002-08-01T23:09,-,-,0,-,2,1,-,-,N,N,X,-,All of density enhanced but not little distinct bump. FR start is messy but somewhere around there
291,290,2002-08-01T23:09,,2002-08-02T07:12,2002-08-02T21:34,2002-08-03T07:11,2002-08-04T01:07,0,-,1,2,2,3,N,N,-,-,Guessing leg and then mixed garbage but not sure on split.
292,-,2002-08-18T18:46,,2002-08-19T19:12,2002-08-20T14:49,2002-08-21T13:25,2002-08-21T21:45,0,-,1,3,2,2,N,N,X,-,Guessing at splits but lots of structure
293,-,2002-08-26T11:16,,2002-08-26T14:23,2002-08-27T00:24,2002-08-27T10:47,-,1,-,1,3,2,-,N,?,GX,-,Could be sad (H)SS but v is pretty low. T stays high and B very turbulent.
294,-,-,,2002-08-29T21:00,2002-08-30T06:00,-,-,-,-,2,2,-,-,N,N,-,W,Probably a thing but weak case
295,-,2002-09-03T02:23,,2002-09-03T04:47,2002-09-03T18:18,-,2002-09-04T01:12,2,-,2,2,-,2,Y?,M?,X,-,SW v does increase behind but not too fast. Pretty messy. Could be multiple or longer
296,297,2002-09-07T16:21,,2002-09-08T04:12,2002-09-08T18:48,-,2002-09-08T19:44,0,-,1,2,-,1,N,N,X,-,Interacts with next case. RC puts bonus CME in sheath
297,296,2002-09-08T20:00,,2002-09-08T22:30,2002-09-09T17:54,2002-09-10T10:55,2002-09-10T21:52,1,-,0,2,2,2,N,N,GX,-,Guessing on split points. Interacts with prev.
298,-,2002-09-19T06:13,,2002-09-19T21:07,2002-09-20T02:51,-,2002-09-20T22:31,1,-,1,2,-,2,N,N,X,-,Mostly leg?
299,-,-,,2002-09-26T15:18,2002-09-27T14:38,-,-,-,-,1,2,-,-,N,N,-,-,Weak but some rot. Could be two FR because second part too much rot for leg?
300,-,2002-09-30T07:54,,2002-09-30T22:04,2002-10-01T15:00,-,2002-10-01T20:08,1,-,1,2,-,2,N,N,X,-,Too far from next case to interact?
301,-,2002-10-02T22:39,,2002-10-03T05:15,2002-10-04T05:16,-,2002-10-04T15:45,1,-,1,2,-,2,Y?,N,X,-,FR messy but not clear leg structure?
302,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,X,-,Not convinced this is a thing? Lowish T but no obvious FR B
303,-,2002-11-16T23:16,,2002-11-16T23:16,2002-11-17T09:25,2002-11-18T23:58,-,0,-,3,2,-,-,N,N,-,-,Ugly FR and leg?
304,-,-,,2002-12-17T20:36,2002-12-18T12:58,-,-,-,-,2,2,-,-,N,N,X,-,Too far from next case to interact?
305,-,-,,-,-,-,-,-,-,-,-,-,-,-,Y?,X,-,Is just part of SIR? Could be weak glancing thing in FR
306,-,2002-12-21T03:21,,2002-12-21T10:20,2002-12-22T06:48,-,2002-12-22T18:09,1,-,2,2,-,2,N,N,GX,-,Could maybe split leg but kink is very small.
307,-,2003-01-26T21:43,,2003-01-27T01:40,2003-01-27T16:04,-,-,2,-,2,1,-,-,Y,Y?,X,-,In tail of HSS. 
308,309,2003-02-01T13:06,,2003-02-01T18:50,2003-02-02T13:29,-,-,1,-,1,2,-,-,Y?,N,X,-,Not sure if enhancement in middle or separate pieces.
309,308,2003-02-02T13:29,,2003-02-02T16:17,2003-02-02T19:11,2003-02-03T01:17,2003-02-03T07:28,2,-,2,2,2,2,N,N,X,-,Attempting to split up. Lots of structure
310,-,2003-02-17T21:50,,2003-02-18T08:00,2003-02-18T18:46,-,2003-02-19T16:00,1,-,2,1,-,2,N,N,X,W,Could maybe add leg or extend FR back into sheath more?
311,-,2003-03-20T04:30,,2003-03-20T12:41,2003-03-20T19:15,-,2003-03-20T21:59,0,-,1,2,-,1,N,M?,X,-,SW v is slightly elevated behind.
312,-,2003-05-09T05:16,,2003-05-09T09:27,2003-05-10T23:07,-,-,1,-,2,2,-,-,M?,Y?,X,-,So much garbage structure. Suspect in HSS bc of SW v ahead. Need to interpret better
313,314,2003-05-29T11:49,,2003-05-29T13:01,2003-05-29T15:29,-,2003-05-29T18:25,1,-,1,2,-,1,N,N,X,-,Mixed is shock from next case?
314,313; 315,2003-05-29T18:25,,2003-05-30T01:17,2003-05-30T12:48,-,2003-05-30T16:00,1,-,2,2,-,2,N,N,X,-,Sheath/FR bound uncear
315,314,2003-05-30T15:53,,2003-05-30T22:26,2003-05-31T20:02,-,-,1,-,2,2,-,-,M?,N,X,-,Think is thing? Low enough T to not be HSS?
316,317,2003-06-15T14:08,,2003-06-15T20:00,2003-06-16T18:00,-,-,2,-,2,2,-,-,M?,N,X,-,So much ugly structure but is low T. Didn't attempt splitting. Interacts with next
317,316,2003-06-16T22:33,,2003-06-17T19:03,2003-06-18T09:05,-,-,2,-,2,2,-,-,N,Y,X,-,HSS behind?
318,-,-,,2003-07-10T19:53,2003-07-11T08:53,-,-,-,-,3,3,-,-,N,N,-,-,Is maybe glancing. Not convinced
